"ArticleID";"ArticleName";"SKU";"EAN";"ProductName";"Archetype";"Gender";"CountryOfOrigin";"Color";"Size";"PrimeCost";"Filter_collar";"Fastener";"Fit";"Lining";"Material";"Season";"Style"
"616c5cd09c382b004d375ed6";"Hannah, Kupfer Braun, 3XL";"RIHANNA-KUPFER BRAUN-3XL";"4260700533253";"Hannah";"Damen-Lederjacke";"women";"PK";"Kupfer Braun";"3XL";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ed0";"Hannah, Kupfer Braun, L";"RIHANNA-KUPFER BRAUN-L";"4260566244904";"Hannah";"Damen-Lederjacke";"women";"PK";"Kupfer Braun";"L";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ece";"Hannah, Kupfer Braun, M";"RIHANNA-KUPFER BRAUN-M";"4260566244898";"Hannah";"Damen-Lederjacke";"women";"PK";"Kupfer Braun";"M";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ecc";"Hannah, Kupfer Braun, S";"RIHANNA-KUPFER BRAUN-S";"4260566244881";"Hannah";"Damen-Lederjacke";"women";"PK";"Kupfer Braun";"S";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ed2";"Hannah, Kupfer Braun, XL";"RIHANNA-KUPFER BRAUN-XL";"4260566244911";"Hannah";"Damen-Lederjacke";"women";"PK";"Kupfer Braun";"XL";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375eca";"Hannah, Kupfer Braun, XS";"RIHANNA-KUPFER BRAUN-XS";"4260566244874";"Hannah";"Damen-Lederjacke";"women";"PK";"Kupfer Braun";"XS";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ef0";"Hannah, Rot, 2XL";"RIHANNA-ROT-2XL";"4260356552356";"Hannah";"Damen-Lederjacke";"women";"PK";"Rot";"2XL";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ef2";"Hannah, Rot, 3XL";"RIHANNA-ROT-3XL";"4260700533260";"Hannah";"Damen-Lederjacke";"women";"PK";"Rot";"3XL";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375eec";"Hannah, Rot, L";"RIHANNA-ROT-L";"4260356552332";"Hannah";"Damen-Lederjacke";"women";"PK";"Rot";"L";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375eea";"Hannah, Rot, M";"RIHANNA-ROT-M";"4260356552325";"Hannah";"Damen-Lederjacke";"women";"PK";"Rot";"M";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ee8";"Hannah, Rot, S";"RIHANNA-ROT-S";"4260356552318";"Hannah";"Damen-Lederjacke";"women";"PK";"Rot";"S";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375eee";"Hannah, Rot, XL";"RIHANNA-ROT-XL";"4260356552349";"Hannah";"Damen-Lederjacke";"women";"PK";"Rot";"XL";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ee6";"Hannah, Rot, XS";"RIHANNA-ROT-XS";"4260566244935";"Hannah";"Damen-Lederjacke";"women";"PK";"Rot";"XS";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ec6";"Hannah, Schwarz, 2XL";"RIHANNA-SCHWARZ-2XL";"4260356552257";"Hannah";"Damen-Lederjacke";"women";"PK";"Schwarz";"2XL";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ec8";"Hannah, Schwarz, 3XL";"RIHANNA-SCHWARZ-3XL";"4260700533239";"Hannah";"Damen-Lederjacke";"women";"PK";"Schwarz";"3XL";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"616c5cd09c382b004d375ec2";"Hannah, Schwarz, L";"RIHANNA-SCHWARZ-L";"4260356552233";"Hannah";"Damen-Lederjacke";"women";"PK";"Schwarz";"L";"39,00";"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Polysatin";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
